HorseURL	RaceURL	Day	Kyoto	Tokyo	Nakayama	Hanshin	Tyukyo	Niigata	Kokura	Fukushima	Sapporo	Hakodate	Raceday	First	Maiden	Under500	Under1000	Under1600	Open	G3	G2	G1	Grass	Dirt	Distance	LightCo	LittleHeavyCo	HeavyCo	BadCo	wakuban	Umaban	Male	Female	Senba	barei	kinryou	kisyu	Time	RunningTime	Tyakusa	Ninki	Weight	zougen	Tansyou	Hukusyou	Wakuren	Umaren	Wide	Umatan	Sanrenpuku	Sanrentan	titi	Haha	TitiTiti	TitiHaha	hahatiti	HahaHaha	tyakujun	Tyoukyoushi
"http://db.netkeiba.com/horse/1996106915/"	"http://db.netkeiba.com/race/199908010605/"	"1999年1月17日"	1	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	1	1400	1	0	0	0	4	7	0	1	0	4	53	"http://db.netkeiba.com/jockey/00714/"	"1:24.9"	8490	""	5	460	0	"1030"	"<td class=\"txt_r\">280<br>310<br>490</td>"	"1830"	"3440"	""	""	""	""	"/horse/ped/000a00022a/"	"/horse/ped/1985103293/"	"/horse/ped/000a001205/"	"/horse/ped/000a000250/"	"/horse/ped/1979101744/"	"/horse/ped/1977103559/"	1	"/trainer/00125/"
"http://db.netkeiba.com/horse/1999105864/"	"http://db.netkeiba.com/race/200203020608/"	"2002年10月20日"	0	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	0	0	0	0	1	0	1200	1	0	0	0	5	9	1	0	0	3	52	"http://db.netkeiba.com/jockey/01068/"	"1:12.1"	7210	"1/2"	3	496	-2	"1130"	"<td class=\"txt_r\">320<br>300<br>190</td>"	"1370"	"6120"	"<td class=\"txt_r\">1,320<br>740<br>840</td>"	"11690"	"7030"	""	"/horse/ped/000a000843/"	"/horse/ped/1990109172/"	"/horse/ped/000a0015ca/"	"/horse/ped/000a009614/"	"/horse/ped/000a001702/"	"/horse/ped/000a0094c2/"	9	"/trainer/00305/"
"http://db.netkeiba.com/horse/2003106330/"	"http://db.netkeiba.com/race/200606030703/"	"2006年4月15日"	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1	1200	0	1	0	0	3	3	0	1	0	3	54	"http://db.netkeiba.com/jockey/00684/"	"1:12.7"	7270	"ハナ"	2	478	-8	"4020"	"<td class=\"txt_r\">840<br>230<br>580</td>"	"7980"	"6970"	"<td class=\"txt_r\">2,130<br>4,370<br>970</td>"	"20790"	"22380"	""	"/horse/ped/000a001a8f/"	"/horse/ped/000a00fa4e/"	"/horse/ped/000a0012bf/"	"/horse/ped/000a0085ed/"	"/horse/ped/000a001ff2/"	"/horse/ped/000a00fa71/"	2	"/trainer/00420/"
"http://db.netkeiba.com/horse/2012101772/"	"http://db.netkeiba.com/race/201507010206/"	"2015年1月18日"	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	2000	1	0	0	0	7	8	1	0	0	3	54	"http://db.netkeiba.com/jockey/01154/"	"2:08.4"	12840	"アタマ"	4	494	0	"400"	"<td class=\"txt_r\">150<br>200<br>170</td>"	"1900"	"2140"	"<td class=\"txt_r\">730<br>270<br>580</td>"	"3770"	"2570"	"17740"	"/horse/ped/1995104427/"	"/horse/ped/2000106533/"	"/horse/ped/000a0000cc/"	"/horse/ped/000a0062e2/"	"/horse/ped/1993109188/"	"/horse/ped/1991102105/"	5	"/trainer/00343/"
"http://db.netkeiba.com/horse/1995103515/"	"http://db.netkeiba.com/race/199806050708/"	"1998年12月26日"	0	0	1	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	1	1800	1	0	0	0	1	1	1	0	0	4	54	"http://db.netkeiba.com/jockey/01031/"	"1:57.5"	11750	"1"	3	470	10	"250"	"<td class=\"txt_r\">130<br>670<br>250</td>"	"1480"	"2930"	""	""	""	""	"/horse/ped/000a00033a/"	"/horse/ped/000a0063ee/"	"/horse/ped/000a0012bf/"	"/horse/ped/000a008c1e/"	"/horse/ped/000a0019da/"	"/horse/ped/000a009551/"	10	"/trainer/00349/"
"http://db.netkeiba.com/horse/1996104245/"	"http://db.netkeiba.com/race/200007010308/"	"2000年3月11日"	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	1700	1	0	0	0	2	2	1	0	0	5	56	"http://db.netkeiba.com/jockey/00639/"	"1:51.6"	11160	"ハナ"	15	476	0	"990"	"<td class=\"txt_r\">390<br>230<br>1,090</td>"	"3230"	"3270"	"<td class=\"txt_r\">1,240<br>6,930<br>3,120</td>"	""	""	""	"/horse/ped/1983109006/"	"/horse/ped/1984102398/"	"/horse/ped/000a000827/"	"/horse/ped/000a00859c/"	"/horse/ped/000a000117/"	"/horse/ped/1977104347/"	13	"/trainer/00295/"
"http://db.netkeiba.com/horse/2008103639/"	"http://db.netkeiba.com/race/201003030310/"	"2010年10月30日"	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	1700	0	1	0	0	1	1	0	1	0	2	54	"http://db.netkeiba.com/jockey/01075/"	"1:44.5"	10450	"1.1/2"	4	456	4	"550"	"<td class=\"txt_r\">190<br>160<br>390</td>"	"840"	"1330"	"<td class=\"txt_r\">400<br>1,470<br>1,110</td>"	"2580"	"7110"	"38040"	"/horse/ped/1997110043/"	"/horse/ped/1989108567/"	"/horse/ped/000a00fdb2/"	"/horse/ped/000a00a464/"	"/horse/ped/000a0016eb/"	"/horse/ped/000a00928a/"	7	"/trainer/01114/"
"http://db.netkeiba.com/horse/2007105580/"	"http://db.netkeiba.com/race/201102020810/"	"2011年8月7日"	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	0	0	0	0	0	1	1700	1	0	0	0	7	10	1	0	0	4	57	"http://db.netkeiba.com/jockey/01019/"	"1:45.6"	10560	"2.1/2"	1	536	4	"950"	"<td class=\"txt_r\">220<br>270<br>110</td>"	"5870"	"5320"	"<td class=\"txt_r\">1,050<br>300<br>480</td>"	"9880"	"2270"	"28550"	"/horse/ped/000a00fa33/"	"/horse/ped/1997103844/"	"/horse/ped/000a001d88/"	"/horse/ped/000a00b29d/"	"/horse/ped/000a000013/"	"/horse/ped/1987100222/"	3	"/trainer/01105/"
"http://db.netkeiba.com/horse/2010105406/"	"http://db.netkeiba.com/race/201306030603/"	"2013年4月7日"	0	0	1	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	1200	0	0	0	1	4	7	0	1	0	3	54	"http://db.netkeiba.com/jockey/01091/"	"1:15.4"	7540	"ハナ"	15	456	0	"320"	"<td class=\"txt_r\">130<br>120<br>190</td>"	"370"	"390"	"<td class=\"txt_r\">200<br>490<br>380</td>"	"740"	"990"	"3760"	"/horse/ped/000a000082/"	"/horse/ped/2003101376/"	"/horse/ped/000a0012cb/"	"/horse/ped/000a00877c/"	"/horse/ped/1992109618/"	"/horse/ped/1988107420/"	8	"/trainer/01112/"
"http://db.netkeiba.com/horse/1998102646/"	"http://db.netkeiba.com/race/200207030206/"	"2002年12月1日"	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1700	1	0	0	0	7	14	1	0	0	4	57	"http://db.netkeiba.com/jockey/00171/"	"1:48.6"	10860	"3/4"	9	484	2	"330"	"<td class=\"txt_r\">140<br>230<br>920</td>"	"790"	"1110"	"<td class=\"txt_r\">480<br>1,520<br>3,010</td>"	"1580"	"9180"	""	"/horse/ped/000a0001aa/"	"/horse/ped/1986106280/"	"/horse/ped/000a0012bf/"	"/horse/ped/000a00a1d6/"	"/horse/ped/000a00022a/"	"/horse/ped/1975103517/"	3	"/trainer/00412/"
"http://db.netkeiba.com/horse/2001109444/"	"http://db.netkeiba.com/race/200306060803/"	"2003年12月28日"	0	0	1	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	1	0	2000	1	0	0	0	3	5	1	0	0	2	55	"http://db.netkeiba.com/jockey/00672/"	"2:04.5"	12450	"ハナ"	15	498	4	"550"	"<td class=\"txt_r\">210<br>820<br>350</td>"	"6350"	"8110"	"<td class=\"txt_r\">2,570<br>840<br>4,250</td>"	"11750"	"15870"	""	"/horse/ped/1992110167/"	"/horse/ped/000a006750/"	"/horse/ped/000a001beb/"	"/horse/ped/000a0099ab/"	"/horse/ped/000a00184b/"	"/horse/ped/000a00af44/"	13	"/trainer/00380/"
"http://db.netkeiba.com/horse/2010104981/"	"http://db.netkeiba.com/race/201307030204/"	"2013年6月30日"	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	2200	1	0	0	0	1	1	1	0	0	3	56	"http://db.netkeiba.com/jockey/01037/"	"2:18.5"	13850	"1.1/4"	14	460	-2	"150"	"<td class=\"txt_r\">100<br>130<br>120</td>"	"150"	"380"	"<td class=\"txt_r\">170<br>140<br>230</td>"	"510"	"250"	"960"	"/horse/ped/000a011227/"	"/horse/ped/1998103255/"	"/horse/ped/000a0022ea/"	"/horse/ped/000a0111a6/"	"/horse/ped/1993109188/"	"/horse/ped/1992105841/"	5	"/trainer/00431/"
"http://db.netkeiba.com/horse/1997107690/"	"http://db.netkeiba.com/race/200009020509/"	"2000年4月8日"	0	0	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	1800	1	0	0	0	7	9	1	0	0	4	55	"http://db.netkeiba.com/jockey/00652/"	"1:54.2"	11420	"ハナ"	8	480	0	"250"	"<td class=\"txt_r\">130<br>650<br>130</td>"	"3680"	"4120"	"<td class=\"txt_r\">1,210<br>220<br>950</td>"	""	""	""	"/horse/ped/000a000d87/"	"/horse/ped/000a00638f/"	"/horse/ped/000a000dfe/"	"/horse/ped/000a008e04/"	"/horse/ped/000a0015fc/"	"/horse/ped/000a00936f/"	4	"/trainer/00330/"
"http://db.netkeiba.com/horse/1998102117/"	"http://db.netkeiba.com/race/200106030702/"	"2001年4月14日"	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1	1200	1	0	0	0	8	15	0	1	0	3	51	"http://db.netkeiba.com/jockey/01051/"	"1:15.5"	7550	"1.3/4"	9	466	-12	"2880"	"<td class=\"txt_r\">390<br>200<br>120</td>"	"3530"	"8100"	"<td class=\"txt_r\">1,900<br>960<br>390</td>"	""	""	""	"/horse/ped/1990108898/"	"/horse/ped/1992106438/"	"/horse/ped/1983109006/"	"/horse/ped/1982101897/"	"/horse/ped/1980107022/"	"/horse/ped/1982103716/"	12	"/trainer/01035/"
"http://db.netkeiba.com/horse/2002100160/"	"http://db.netkeiba.com/race/200401020201/"	"2004年9月12日"	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1500	1	0	0	0	5	7	1	0	0	2	54	"http://db.netkeiba.com/jockey/00705/"	"1:30.5"	9050	""	1	466	-4	"130"	"<td class=\"txt_r\">110<br>300<br>280</td>"	"740"	"760"	"<td class=\"txt_r\">380<br>390<br>1,900</td>"	"900"	"2380"	""	"/horse/ped/1995104427/"	"/horse/ped/1997103742/"	"/horse/ped/000a0000cc/"	"/horse/ped/000a0062e2/"	"/horse/ped/1985103538/"	"/horse/ped/1990106921/"	1	"/trainer/01024/"
"http://db.netkeiba.com/horse/1990103939/"	"http://db.netkeiba.com/race/199306040804/"	"1993年10月3日"	0	0	1	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	1	0	1200	1	0	0	0	5	7	0	1	0	4	53	"http://db.netkeiba.com/jockey/00590/"	"1:12.3"	7230	"1/2"	9	466	16	"1330"	"<td class=\"txt_r\">290<br>110<br>200</td>"	"850"	"1040"	""	""	""	""	"/horse/ped/000a000d18/"	"/horse/ped/1984104005/"	"/horse/ped/000a000e04/"	"/horse/ped/000a0085dc/"	"/horse/ped/000a0002a9/"	"/horse/ped/1975102533/"	6	"/trainer/00320/"
"http://db.netkeiba.com/horse/1998104600/"	"http://db.netkeiba.com/race/200406050412/"	"2004年12月12日"	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	2000	1	0	0	0	5	5	1	0	0	6	57	"http://db.netkeiba.com/jockey/00730/"	"2:04.3"	12430	"2.1/2"	11	462	6	"250"	"<td class=\"txt_r\">160<br>620<br>380</td>"	"1300"	"4130"	"<td class=\"txt_r\">1,630<br>670<br>4,090</td>"	"6020"	"11360"	"72310"	"/horse/ped/1984101673/"	"/horse/ped/1983102644/"	"/horse/ped/1975107312/"	"/horse/ped/1955108273/"	"/horse/ped/000a000253/"	"/horse/ped/1955102844/"	11	"/trainer/00385/"
"http://db.netkeiba.com/horse/2004100662/"	"http://db.netkeiba.com/race/200905020610/"	"2009年5月10日"	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	1	1600	1	0	0	0	6	12	1	0	0	5	55	"http://db.netkeiba.com/jockey/01014/"	"1:35.7"	9570	"ハナ"	7	472	4	"500"	"<td class=\"txt_r\">170<br>180<br>580</td>"	"710"	"1170"	"<td class=\"txt_r\">450<br>1,920<br>1,640</td>"	"2530"	"8470"	"39210"	"/horse/ped/000a00013a/"	"/horse/ped/1996101720/"	"/horse/ped/000a001849/"	"/horse/ped/000a00a946/"	"/horse/ped/000a00033a/"	"/horse/ped/000a00646f/"	6	"/trainer/01039/"
"http://db.netkeiba.com/horse/2000100421/"	"http://db.netkeiba.com/race/200506040610/"	"2005年9月25日"	0	0	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	1	1200	0	0	1	0	5	9	1	0	0	5	57	"http://db.netkeiba.com/jockey/00699/"	"1:13.1"	7310	"3/4"	8	508	-2	"2960"	"<td class=\"txt_r\">430<br>140<br>480</td>"	"1840"	"2090"	"<td class=\"txt_r\">940<br>4,860<br>1,010</td>"	"5360"	"16560"	"71070"	"/horse/ped/000a000d69/"	"/horse/ped/1986100455/"	"/horse/ped/000a001607/"	"/horse/ped/000a0093c1/"	"/horse/ped/1979101247/"	"/horse/ped/1978106463/"	12	"/trainer/01027/"
"http://db.netkeiba.com/horse/2002102980/"	"http://db.netkeiba.com/race/200408040305/"	"2004年10月16日"	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	1200	1	0	0	0	1	1	1	0	0	2	55	"http://db.netkeiba.com/jockey/00666/"	"1:11.4"	7140	"4"	1	460	0	"370"	"<td class=\"txt_r\">110<br>100<br>200</td>"	"190"	"210"	"<td class=\"txt_r\">130<br>350<br>240</td>"	"560"	"580"	""	"/horse/ped/000a00013a/"	"/horse/ped/000a006767/"	"/horse/ped/000a001849/"	"/horse/ped/000a00a946/"	"/horse/ped/000a0016eb/"	"/horse/ped/000a008574/"	2	"/trainer/01022/"
"http://db.netkeiba.com/horse/2001103707/"	"http://db.netkeiba.com/race/200507020807/"	"2005年6月12日"	0	0	0	0	1	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	1	1700	1	0	0	0	8	15	1	0	0	4	57	"http://db.netkeiba.com/jockey/00680/"	"1:47.9"	10790	"1/2"	12	496	-8	"770"	"<td class=\"txt_r\">290<br>340<br>240</td>"	"3390"	"4780"	"<td class=\"txt_r\">1,330<br>1,240<br>1,370</td>"	"8020"	"12330"	""	"/horse/ped/1992190011/"	"/horse/ped/1986105893/"	"/horse/ped/000a001dde/"	"/horse/ped/000a00a870/"	"/horse/ped/000a000b7f/"	"/horse/ped/1976105266/"	7	"/trainer/01025/"
"http://db.netkeiba.com/horse/1999103356/"	"http://db.netkeiba.com/race/200410020610/"	"2004年8月1日"	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	1200	0	0	0	1	7	13	0	1	0	5	55	"http://db.netkeiba.com/jockey/00945/"	"1:08.4"	6840	""	2	444	6	"500"	"<td class=\"txt_r\">200<br>340<br>760</td>"	"930"	"2470"	"<td class=\"txt_r\">880<br>2,580<br>3,640</td>"	"4540"	"23700"	""	"/horse/ped/1984101673/"	"/horse/ped/1993102787/"	"/horse/ped/1975107312/"	"/horse/ped/1955108273/"	"/horse/ped/000a0000cc/"	"/horse/ped/1986100359/"	1	"/trainer/00400/"
"http://db.netkeiba.com/horse/1992103745/"	"http://db.netkeiba.com/race/199407030502/"	"1994年9月24日"	0	0	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	1000	1	0	0	0	2	2	1	0	0	3	53	"http://db.netkeiba.com/jockey/00700/"	"1:00.7"	6070	""	3	474	-6	"410"	"<td class=\"txt_r\">130<br>130<br>120</td>"	"640"	"720"	""	""	""	""	"/horse/ped/000a000d5d/"	"/horse/ped/1978106874/"	"/horse/ped/000a0000d3/"	"/horse/ped/000a00831a/"	"/horse/ped/000a000117/"	"/horse/ped/000a000630/"	1	"/trainer/00334/"
"http://db.netkeiba.com/horse/1994105035/"	"http://db.netkeiba.com/race/199703010310/"	"1997年6月21日"	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	2000	1	0	0	0	6	6	0	1	0	4	53	"http://db.netkeiba.com/jockey/05063/"	"2:02.0"	12200	"1"	9	458	-17	"280"	"<td class=\"txt_r\">120<br>150<br>610</td>"	"510"	"730"	""	""	""	""	"/horse/ped/1980107022/"	"/horse/ped/1982100715/"	"/horse/ped/000a0003c7/"	"/horse/ped/1955106410/"	"/horse/ped/000a0004d6/"	"/horse/ped/000a0005c3/"	3	"/trainer/05082/"
"http://db.netkeiba.com/horse/2011105044/"	"http://db.netkeiba.com/race/201308050709/"	"2013年11月23日"	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	1	0	2000	1	0	0	0	8	8	1	0	0	2	55	"http://db.netkeiba.com/jockey/01014/"	"2:02.0"	12200	"3"	7	442	2	"150"	"<td class=\"txt_r\">110<br>270<br>220</td>"	"890"	"1110"	"<td class=\"txt_r\">450<br>330<br>1,040</td>"	"1200"	"2220"	"6060"	"/horse/ped/2001103460/"	"/horse/ped/2000101655/"	"/horse/ped/000a001d7e/"	"/horse/ped/000a00680e/"	"/horse/ped/000a00033a/"	"/horse/ped/1992110256/"	9	"/trainer/01011/"
"http://db.netkeiba.com/horse/2007103262/"	"http://db.netkeiba.com/race/201005010803/"	"2010年2月21日"	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	1	1600	1	0	0	0	8	16	0	1	0	3	54	"http://db.netkeiba.com/jockey/05243/"	"1:42.0"	10200	"1.3/4"	10	430	10	"410"	"<td class=\"txt_r\">160<br>270<br>170</td>"	"2530"	"2360"	"<td class=\"txt_r\">760<br>430<br>710</td>"	"4060"	"3370"	"20040"	"/horse/ped/000a0003a1/"	"/horse/ped/000a0067d2/"	"/horse/ped/000a00185f/"	"/horse/ped/000a009f4c/"	"/horse/ped/000a001bd5/"	"/horse/ped/000a00af62/"	6	"/trainer/00341/"
"http://db.netkeiba.com/horse/2010101445/"	"http://db.netkeiba.com/race/201309010706/"	"2013年3月16日"	0	0	0	1	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	1	0	1800	1	0	0	0	2	4	0	1	0	3	54	"http://db.netkeiba.com/jockey/00894/"	"1:53.3"	11330	"5"	5	450	0	"220"	"<td class=\"txt_r\">110<br>110<br>190</td>"	"200"	"230"	"<td class=\"txt_r\">140<br>380<br>330</td>"	"510"	"600"	"1720"	"/horse/ped/2002100996/"	"/horse/ped/2005106023/"	"/horse/ped/000a00033a/"	"/horse/ped/1993109154/"	"/horse/ped/000a000134/"	"/horse/ped/1993109959/"	14	"/trainer/01002/"
"http://db.netkeiba.com/horse/2003103589/"	"http://db.netkeiba.com/race/200606040307/"	"2006年9月16日"	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1600	1	0	0	0	8	15	0	1	0	3	54	"http://db.netkeiba.com/jockey/01059/"	"1:36.5"	9650	"クビ"	12	428	4	"460"	"<td class=\"txt_r\">160<br>190<br>430</td>"	"760"	"960"	"<td class=\"txt_r\">380<br>1,190<br>1,200</td>"	"1960"	"4340"	""	"/horse/ped/1993109188/"	"/horse/ped/1997103468/"	"/horse/ped/000a00033a/"	"/horse/ped/000a0062c2/"	"/horse/ped/1989109102/"	"/horse/ped/1984104440/"	13	"/trainer/01030/"
"http://db.netkeiba.com/horse/1987101940/"	"http://db.netkeiba.com/race/199007030202/"	"1990年9月9日"	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1700	1	0	0	0	3	3	1	0	0	4	55	"http://db.netkeiba.com/jockey/00337/"	"1:49.3"	10930	""	1	462	-2	"170"	"<td class=\"txt_r\">110<br>140<br>590</td>"	"230"	""	""	""	""	""	"/horse/ped/1975102626/"	"/horse/ped/000a0057f9/"	"/horse/ped/000a000dfe/"	"/horse/ped/000a0007db/"	"/horse/ped/000a00016b/"	"/horse/ped/000a002f04/"	1	"/trainer/00211/"
"http://db.netkeiba.com/horse/2000106229/"	"http://db.netkeiba.com/race/200206050701/"	"2002年12月21日"	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1	1200	1	0	0	0	6	11	1	0	0	2	54	"http://db.netkeiba.com/jockey/00629/"	"1:16.3"	7630	"ハナ"	2	466	0	"800"	"<td class=\"txt_r\">240<br>260<br>870</td>"	"1390"	"2470"	"<td class=\"txt_r\">960<br>2,190<br>2,930</td>"	"5660"	"19930"	""	"/horse/ped/000a000d8a/"	"/horse/ped/1994106713/"	"/horse/ped/000a001fbd/"	"/horse/ped/000a00a443/"	"/horse/ped/000a000082/"	"/horse/ped/1982103849/"	10	"/trainer/00320/"
"http://db.netkeiba.com/horse/2003101841/"	"http://db.netkeiba.com/race/200601020804/"	"2006年10月1日"	0	0	0	0	0	0	0	0	1	0	8	0	1	0	0	0	0	0	0	0	0	1	1700	1	0	0	0	4	5	0	1	0	3	54	"http://db.netkeiba.com/jockey/01062/"	"1:49.1"	10910	"1/2"	10	430	-2	"640"	"<td class=\"txt_r\">210<br>150<br>470</td>"	"1380"	"1410"	"<td class=\"txt_r\">510<br>1,610<br>770</td>"	"2990"	"7970"	""	"/horse/ped/1993101059/"	"/horse/ped/1994102320/"	"/horse/ped/000a00033a/"	"/horse/ped/000a006380/"	"/horse/ped/000a000082/"	"/horse/ped/1981105306/"	7	"/trainer/00423/"
"http://db.netkeiba.com/horse/2011104307/"	"http://db.netkeiba.com/race/201409010611/"	"2014年3月16日"	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	1400	1	0	0	0	1	2	0	1	0	3	54	"http://db.netkeiba.com/jockey/05212/"	"1:22.6"	8260	"1/2"	5	468	0	"560"	"<td class=\"txt_r\">260<br>5,520<br>420</td>"	"1450"	"76030"	"<td class=\"txt_r\">18,330<br>1,470<br>25,080</td>"	"88570"	"253310"	"1750540"	"/horse/ped/1989108341/"	"/horse/ped/2003102585/"	"/horse/ped/1982101222/"	"/horse/ped/1984104366/"	"/horse/ped/1995108742/"	"/horse/ped/1992109549/"	6	"/trainer/01039/"
